time,state,players
294.362,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.467,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.568,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.671,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.774,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.875,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
294.976,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.076,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.176,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.278,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.378,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.482,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.586,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.689,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.793,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.894,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
295.994,Patrol,Player(Clone):0.000:False;Girl(Clone):0.000:False
